role,decision,std_svg_nodes,std_svg_occurrences,style_registry,annotations,sources,note
hw_zipper_tape,keep_active,1560,5394,7,0,"std_svg_nodes,std_svg_occurrences,style_registry",??????? ????????????.
hw_zipper_tape_edge,review_rare,1,2,0,0,"std_svg_nodes,std_svg_occurrences","?????? ????: ?????????, ????? ?? ??? ?????????."
label,keep_active,4123,4123,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
line_decorative,review_rare,0,0,2,0,style_registry,"?????? ????: ?????????, ????? ?? ??? ?????????."
line_elastic,keep_active,0,0,4,0,"style_registry,unknown_roles_assigned",??????? ????????????.
line_fur,keep_active,0,0,4,0,style_registry,??????? ????????????.
line_gathered_edge,keep_active,100,1121,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
line_mesh,review_rare,0,0,2,0,"style_registry,unknown_roles_assigned","?????? ????: ?????????, ????? ?? ??? ?????????."
line_photo_trace,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
line_reference,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
line_velcro,review_rare,3,6,0,0,"std_svg_nodes,std_svg_occurrences","?????? ????: ?????????, ????? ?? ??? ?????????."
seam_allowance,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
seam_line,keep_active,76,285,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
stitch_Bt,keep_active,62,375,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
stitch_C,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
stitch_F,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
stitch_L,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
stitch_O,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
stitch_cover,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
stitch_double,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
stitch_edge,keep_active,4037,55258,11,6,"node_annotations_element,std_svg_nodes,std_svg_occurrences,style_registry",??????? ????????????.
stitch_hidden,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
stitch_overlock,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
stitch_symbol,keep_active,1093,2566,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
stitch_thru,keep_active,3650,18620,7,0,"std_svg_nodes,std_svg_occurrences,style_registry",??????? ????????????.
stitch_topstitch,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
stitch_zigzag,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
unknown,keep_active,268,1180,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
Выноски с увеличением,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
Мех,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
Размерная линия,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
Резинка,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
Соединяющая стрелка,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
Строчка по краю,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
выносная линия,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
линия на фото?,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
непонятно,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
ремень-стяжка?,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
